moisture,temperature,ph,ec,nitrogen,phosphorus,potassium,disease
34.0,28.4,6.2,606.5,44.8,24.5,31.2,pink_root
29.4,27.1,6.63,417.0,40.0,27.6,59.6,pink_root
23.5,29.8,6.5,419.6,39.1,24.9,40.0,pink_root
22.2,29.2,6.93,596.7,51.8,29.4,37.7,pink_root
23.7,27.0,6.69,755.0,39.3,38.9,38.0,pink_root
30.8,29.3,6.06,454.7,40.9,38.4,50.0,pink_root
28.2,26.1,6.74,617.3,47.3,26.5,33.0,pink_root
30.8,23.5,6.84,762.4,40.9,36.1,42.3,pink_root
25.5,24.1,6.28,447.9,58.2,27.0,37.0,pink_root
21.8,26.1,6.83,542.0,49.8,28.7,30.6,pink_root
25.4,26.3,6.75,425.2,38.5,33.7,58.7,pink_root
28.9,28.5,6.5,468.6,44.2,32.6,36.4,pink_root
28.3,28.8,6.76,789.1,44.7,27.8,51.7,pink_root
20.8,26.5,6.03,700.5,36.7,31.8,46.2,pink_root
33.0,25.3,6.52,653.0,52.1,26.1,55.7,pink_root
24.9,27.6,6.08,723.8,43.4,24.1,46.2,pink_root
26.0,22.9,6.08,651.8,50.5,31.0,57.9,pink_root
25.5,25.7,6.19,677.6,59.0,26.9,58.1,pink_root
22.0,29.2,6.99,555.6,50.2,20.7,33.1,pink_root
30.8,27.5,6.03,755.6,53.8,26.6,46.1,pink_root
23.2,27.4,6.29,438.1,46.6,33.7,42.4,pink_root
34.1,26.0,6.63,732.1,45.3,34.4,57.0,pink_root
33.2,23.9,6.46,548.9,32.3,34.4,32.2,pink_root
29.8,27.2,6.23,430.7,32.1,24.0,38.3,pink_root
32.5,26.2,6.04,740.6,56.1,32.2,54.7,pink_root
28.6,25.0,6.62,504.5,30.9,33.2,59.1,pink_root
20.4,27.4,6.7,685.0,33.3,37.3,30.3,pink_root
22.4,26.1,6.9,448.5,41.0,29.4,55.0,pink_root
27.2,22.0,6.99,743.4,52.4,23.7,42.6,pink_root
25.9,22.7,6.09,523.9,32.1,36.4,42.2,pink_root
24.2,23.3,6.47,758.3,45.3,26.6,32.1,pink_root
24.7,28.7,6.38,415.9,43.4,35.1,30.7,pink_root
30.0,23.6,6.45,664.0,37.5,32.6,46.6,pink_root
24.2,27.1,6.17,556.0,50.6,32.7,56.1,pink_root
29.7,23.9,6.92,782.4,40.6,36.6,53.4,pink_root
32.6,28.0,6.12,400.6,58.3,39.5,33.3,pink_root
24.7,23.0,6.08,726.2,57.7,35.3,55.8,pink_root
34.7,25.6,6.99,582.7,40.8,37.5,35.2,pink_root
24.3,22.2,6.59,697.1,32.5,31.7,54.8,pink_root
35.0,24.0,6.3,727.6,33.1,33.3,52.5,pink_root
25.9,24.0,6.65,543.9,51.0,23.9,54.6,pink_root
21.7,24.9,6.63,744.5,49.3,24.3,58.7,pink_root
27.6,28.1,6.03,419.7,30.2,37.8,34.9,pink_root
32.5,27.9,6.96,485.0,48.4,26.6,36.7,pink_root
34.0,27.5,6.13,401.7,59.5,35.4,33.4,pink_root
20.2,29.7,6.59,684.0,59.2,35.7,40.2,pink_root
30.5,29.8,6.69,528.3,59.5,38.5,38.9,pink_root
31.5,26.1,6.03,439.9,38.2,36.0,48.2,pink_root
34.8,23.6,6.19,628.8,49.3,39.1,54.2,pink_root
31.5,26.1,6.71,502.4,37.9,39.6,36.1,pink_root
34.1,24.7,6.65,774.3,45.9,33.7,49.2,pink_root
34.9,23.5,6.4,525.6,35.0,22.4,39.3,pink_root
26.5,27.8,6.28,736.7,54.7,23.1,54.0,pink_root
23.7,27.8,6.77,496.0,33.6,37.9,58.9,pink_root
29.7,22.7,6.74,707.6,47.8,38.2,45.5,pink_root
20.7,24.5,6.59,572.7,41.4,35.6,56.3,pink_root
30.4,29.2,6.78,516.1,42.1,22.1,42.6,pink_root
34.7,28.1,6.6,631.3,49.8,38.0,59.2,pink_root
25.8,26.1,6.77,556.5,54.2,33.1,37.6,pink_root
25.5,24.7,6.15,555.6,33.1,37.0,31.0,pink_root
29.4,27.0,6.93,460.0,41.1,33.5,38.6,pink_root
23.4,28.1,6.67,640.7,31.2,37.3,50.5,pink_root
27.2,25.3,6.37,559.2,52.7,25.4,39.8,pink_root
29.8,22.4,6.73,411.8,45.2,37.6,40.9,pink_root
34.2,29.8,6.41,520.8,56.6,38.9,42.5,pink_root
24.3,28.1,6.27,511.6,44.4,33.4,39.2,pink_root
20.7,27.4,6.09,751.2,38.7,20.8,46.4,pink_root
30.6,24.4,6.83,622.6,51.4,27.5,44.5,pink_root
34.5,24.4,6.97,786.7,32.0,28.4,47.1,pink_root
21.9,29.5,6.32,605.0,59.6,33.7,47.4,pink_root
28.8,26.3,6.91,474.5,33.9,30.1,52.6,pink_root
29.7,29.9,6.91,646.7,55.5,23.9,33.4,pink_root
21.0,26.1,6.08,584.4,32.7,25.9,52.2,pink_root
23.5,29.5,6.8,735.3,45.7,34.5,53.5,pink_root
23.2,28.9,6.1,490.0,49.0,39.6,38.8,pink_root
30.0,27.9,6.7,568.6,39.8,37.0,56.7,pink_root
23.6,27.4,6.02,741.7,32.2,38.4,59.1,pink_root
28.8,22.8,6.72,688.7,36.4,21.6,52.5,pink_root
33.8,27.1,6.32,744.8,58.1,36.4,30.5,pink_root
33.8,22.7,6.05,456.5,54.6,25.8,56.6,pink_root
26.9,26.2,6.34,642.5,51.7,33.2,43.9,pink_root
34.8,28.7,6.04,522.8,31.3,39.9,35.4,pink_root
24.4,23.8,6.45,451.7,55.0,37.1,59.2,pink_root
25.2,24.8,6.23,730.2,51.4,26.1,48.4,pink_root
30.4,28.9,6.57,484.4,45.5,28.8,31.3,pink_root
32.5,25.6,6.02,472.4,40.8,33.0,46.8,pink_root
20.1,22.7,6.22,741.8,30.1,23.9,53.4,pink_root
34.4,22.3,6.23,586.1,45.1,31.1,58.6,pink_root
24.0,29.3,6.66,556.6,31.5,31.4,53.4,pink_root
25.3,28.1,6.42,434.4,53.7,27.1,41.8,pink_root
22.0,26.0,6.24,606.3,50.6,38.2,45.4,pink_root
32.1,26.7,6.47,700.7,45.7,28.1,31.8,pink_root
21.9,29.4,6.06,492.8,47.0,27.2,51.2,pink_root
29.9,23.9,6.93,630.7,47.5,40.0,31.7,pink_root
25.8,27.3,6.48,454.2,57.1,39.3,55.5,pink_root
28.1,28.4,6.11,754.5,34.2,25.0,39.8,pink_root
30.4,29.1,6.44,556.6,30.4,28.4,37.8,pink_root
33.2,25.1,6.84,487.6,35.0,31.1,37.5,pink_root
20.7,29.1,6.92,658.1,46.5,38.4,31.0,pink_root
24.3,24.2,6.94,484.1,48.6,20.9,56.7,pink_root
20.5,29.0,6.78,762.8,33.4,30.2,34.1,pink_root
31.8,26.7,6.52,459.2,56.4,30.3,47.2,pink_root
25.9,24.5,6.5,405.9,58.7,29.9,51.6,pink_root
22.0,27.2,6.83,576.9,32.1,21.2,55.7,pink_root
20.4,24.9,6.97,725.4,55.6,36.1,59.5,pink_root
25.0,24.7,6.94,754.2,31.4,23.1,37.4,pink_root
26.5,27.3,6.17,429.3,30.4,39.7,35.9,pink_root
26.5,23.6,6.19,446.4,40.3,26.1,33.0,pink_root
23.6,26.9,6.64,425.6,41.8,26.9,36.0,pink_root
31.9,24.6,6.13,405.4,40.8,31.2,37.6,pink_root
27.1,23.6,6.11,610.1,53.3,31.8,52.2,pink_root
28.6,22.7,6.84,720.5,35.7,24.8,40.4,pink_root
31.4,29.3,6.64,605.6,38.1,20.7,47.0,pink_root
32.5,23.5,6.33,649.9,44.3,24.0,37.6,pink_root
29.2,29.7,6.99,769.4,46.0,31.7,53.7,pink_root
32.1,28.1,6.17,710.0,39.4,30.1,35.9,pink_root
24.8,23.2,6.85,657.1,53.1,24.2,49.9,pink_root
28.7,26.0,6.97,564.4,46.9,30.6,31.2,pink_root
33.0,24.4,6.09,547.0,43.8,26.0,52.6,pink_root
26.9,24.7,6.86,786.5,49.7,23.3,53.3,pink_root
20.3,23.4,6.96,500.0,31.6,39.6,58.4,pink_root
28.4,28.5,6.61,784.4,41.4,36.8,58.3,pink_root
22.0,23.2,6.19,644.2,32.2,28.7,36.7,pink_root
34.8,24.5,6.34,568.1,47.1,29.5,44.8,pink_root
25.1,24.7,6.2,740.9,52.7,25.5,32.2,pink_root
25.5,28.1,6.43,740.8,40.4,27.7,57.1,pink_root
29.3,25.0,6.22,496.0,42.4,21.2,50.3,pink_root
24.8,29.7,6.83,510.8,56.0,37.4,35.8,pink_root
32.3,26.6,6.72,609.4,59.8,24.0,37.3,pink_root
20.1,26.2,6.02,589.9,35.0,31.6,42.7,pink_root
23.1,23.1,6.67,443.1,36.8,32.8,39.6,pink_root
34.2,22.2,6.83,677.2,44.3,20.9,48.9,pink_root
23.9,29.3,6.52,417.9,37.5,27.7,46.6,pink_root
22.2,28.4,6.53,649.9,39.4,21.8,50.6,pink_root
33.9,24.8,6.38,533.2,54.4,35.8,34.4,pink_root
27.2,25.0,6.8,670.3,43.4,21.1,55.5,pink_root
20.1,25.8,6.01,657.8,58.0,24.7,53.1,pink_root
34.5,25.8,6.47,520.6,45.2,37.8,42.9,pink_root
27.5,28.4,6.67,439.2,59.9,21.2,54.1,pink_root
31.8,29.8,6.16,493.1,55.4,24.5,33.9,pink_root
34.5,24.7,6.02,621.9,40.0,29.4,56.3,pink_root
25.1,26.9,6.44,534.6,32.4,27.4,58.7,pink_root
32.3,29.4,6.99,639.5,35.8,29.0,49.9,pink_root
26.9,23.3,6.56,790.0,49.2,22.5,52.5,pink_root
34.8,29.2,6.31,591.2,48.5,22.5,49.0,pink_root
33.4,25.0,6.8,615.2,35.2,27.9,31.6,pink_root
21.8,29.4,6.14,571.8,35.7,26.9,31.6,pink_root
29.9,22.3,6.54,434.9,31.2,34.4,47.3,pink_root
25.0,28.8,6.95,546.8,40.7,37.2,48.6,pink_root
30.2,25.2,6.47,513.0,45.8,27.0,52.8,pink_root
21.8,23.2,6.15,461.5,32.7,30.1,39.5,pink_root
25.7,25.9,6.93,763.8,30.9,38.9,50.5,pink_root
22.6,29.0,6.97,456.7,57.9,33.5,33.2,pink_root
26.1,22.8,6.13,706.1,51.5,22.5,55.3,pink_root
33.0,26.4,6.29,544.4,52.7,39.7,52.0,pink_root
30.6,28.5,6.87,433.4,49.2,23.7,54.9,pink_root
28.4,26.6,6.39,797.0,42.5,32.6,34.3,pink_root
26.3,27.8,6.88,582.6,47.6,37.2,31.2,pink_root
20.9,28.3,6.51,523.8,43.7,37.4,53.5,pink_root
24.8,27.2,6.14,759.1,57.2,39.9,50.1,pink_root
20.5,22.2,6.49,442.2,58.9,25.0,43.4,pink_root
26.6,22.0,6.74,604.4,51.8,35.5,30.5,pink_root
26.9,24.7,6.77,457.3,45.4,33.3,36.3,pink_root
28.0,26.3,6.47,419.6,36.4,24.4,43.7,pink_root
20.7,27.8,6.78,410.4,40.9,33.3,53.0,pink_root
22.1,22.9,6.16,682.0,50.7,35.5,49.6,pink_root
31.3,29.3,6.01,687.1,31.5,20.2,51.0,pink_root
31.1,26.2,6.52,775.3,39.4,29.4,58.8,pink_root
22.1,29.9,6.1,497.6,47.8,25.4,49.5,pink_root
33.9,29.5,6.28,642.1,35.5,30.1,40.7,pink_root
23.6,29.8,6.77,608.8,49.1,35.8,42.6,pink_root
29.4,29.9,6.14,571.8,31.5,36.5,46.6,pink_root
34.6,22.8,6.22,539.6,36.5,24.0,53.3,pink_root
21.7,28.6,6.93,785.3,42.4,36.8,31.9,pink_root
27.7,29.9,6.15,552.0,50.0,32.0,45.2,pink_root
33.5,28.4,6.81,507.7,30.4,22.3,52.3,pink_root
25.5,22.3,6.43,599.9,53.8,31.7,35.4,pink_root
33.4,27.8,6.22,452.5,56.0,31.3,51.3,pink_root
29.1,22.4,6.29,780.9,55.2,22.9,35.7,pink_root
26.0,25.9,6.33,643.4,39.9,32.5,56.5,pink_root
22.3,22.7,6.52,625.1,38.0,36.7,56.8,pink_root
21.2,28.8,6.52,459.8,40.7,33.8,51.3,pink_root
30.9,24.8,6.71,469.7,49.1,35.2,45.7,pink_root
31.4,24.0,6.44,454.1,30.9,30.0,33.2,pink_root
33.9,26.6,6.46,770.2,53.3,29.3,58.9,pink_root
32.8,28.6,6.8,588.0,51.1,35.4,54.0,pink_root
27.2,27.9,6.8,689.5,42.9,25.6,37.6,pink_root
22.6,29.0,6.09,525.6,34.8,39.4,36.3,pink_root
26.5,28.1,6.91,518.7,38.0,27.8,31.0,pink_root
33.2,24.4,6.73,605.1,42.3,32.9,55.5,pink_root
31.5,26.3,6.7,554.6,54.1,23.3,57.7,pink_root
28.2,24.4,6.21,665.2,48.2,37.6,54.8,pink_root
29.8,25.5,6.09,762.7,44.6,31.6,53.3,pink_root
28.6,26.5,6.2,577.2,58.6,32.1,51.5,pink_root
33.6,27.6,6.52,587.2,58.1,23.7,33.3,pink_root
34.5,27.0,6.37,757.7,52.2,35.8,47.5,pink_root
29.8,22.8,6.18,650.5,30.4,31.0,44.9,pink_root
26.4,23.3,6.13,553.7,53.7,27.6,48.9,pink_root
34.3,27.1,6.84,552.2,37.2,29.0,30.9,pink_root
33.1,24.4,6.69,550.5,56.3,34.6,35.6,pink_root
18.9,23.9,6.39,581.2,37.9,46.7,41.3,fusarium_basal_rot
21.5,21.1,6.33,846.7,30.7,32.7,36.2,fusarium_basal_rot
29.2,25.7,6.11,792.6,30.1,31.3,32.5,fusarium_basal_rot
