moisture,temperature,ph,ec,nitrogen,phosphorus,potassium,disease
28.3,28.8,6.14,445.6,36.6,30.7,38.2,fusarium_wilt
21.7,20.9,6.49,527.6,46.3,35.4,51.0,fusarium_wilt
24.8,22.3,5.51,678.5,31.1,25.8,45.1,fusarium_wilt
17.2,21.7,6.04,437.1,56.7,30.5,55.3,fusarium_wilt
22.3,26.9,6.4,616.5,44.0,38.6,53.4,fusarium_wilt
29.4,25.1,5.59,584.4,42.2,20.0,35.8,fusarium_wilt
24.3,21.9,6.05,405.9,48.2,20.2,56.2,fusarium_wilt
15.6,25.4,6.39,404.4,41.0,21.2,51.6,fusarium_wilt
21.9,27.9,6.03,537.6,31.6,27.8,49.3,fusarium_wilt
21.0,25.7,6.39,480.5,55.4,30.4,53.6,fusarium_wilt
21.7,25.0,6.49,497.2,57.1,31.2,30.0,fusarium_wilt
21.5,26.4,5.67,561.2,44.5,27.7,54.4,fusarium_wilt
26.2,24.2,6.19,581.6,47.0,37.2,40.0,fusarium_wilt
19.8,21.7,5.91,550.1,55.2,24.2,40.4,fusarium_wilt
26.2,27.9,6.28,644.9,56.2,34.0,54.3,fusarium_wilt
27.2,28.8,5.75,459.4,55.6,22.6,43.6,fusarium_wilt
21.2,26.0,5.66,567.8,33.3,25.4,31.0,fusarium_wilt
25.3,27.0,5.62,450.4,51.8,35.3,36.6,fusarium_wilt
20.4,21.7,6.17,634.9,52.4,29.0,53.6,fusarium_wilt
19.2,21.9,6.16,680.0,44.3,28.8,48.3,fusarium_wilt
19.5,25.2,6.45,655.8,32.3,21.9,31.3,fusarium_wilt
27.9,25.9,5.77,418.7,56.4,38.6,38.8,fusarium_wilt
16.9,29.1,6.33,578.1,35.6,25.1,57.4,fusarium_wilt
22.2,24.8,6.27,404.5,49.9,30.6,53.4,fusarium_wilt
15.3,23.9,5.64,512.7,50.6,21.9,45.4,fusarium_wilt
15.2,23.2,5.88,648.5,44.7,20.1,56.5,fusarium_wilt
15.7,24.6,6.12,481.1,33.0,38.6,48.4,fusarium_wilt
15.4,27.3,6.14,678.9,59.0,20.9,54.9,fusarium_wilt
19.3,28.4,6.22,448.6,45.9,22.9,41.4,fusarium_wilt
29.7,25.7,5.58,429.5,41.4,22.1,56.0,fusarium_wilt
21.5,25.1,5.71,404.1,40.0,38.4,44.1,fusarium_wilt
16.1,20.0,5.69,473.3,56.6,35.7,47.6,fusarium_wilt
18.2,28.4,6.44,521.6,59.8,34.8,54.9,fusarium_wilt
15.8,23.9,5.66,536.1,38.6,22.5,46.6,fusarium_wilt
19.8,29.2,6.38,466.2,30.1,20.8,30.6,fusarium_wilt
20.9,29.3,5.77,549.3,57.0,20.6,34.9,fusarium_wilt
20.8,24.0,6.23,502.0,36.9,26.4,56.1,fusarium_wilt
27.4,23.2,5.9,513.2,37.4,39.7,55.0,fusarium_wilt
25.6,28.5,5.65,429.8,58.5,39.6,36.1,fusarium_wilt
22.8,25.9,6.14,478.3,45.2,36.0,30.3,fusarium_wilt
19.0,21.0,6.25,608.1,46.3,32.3,38.5,fusarium_wilt
26.8,28.7,5.67,675.9,41.6,25.7,44.0,fusarium_wilt
24.0,27.3,6.17,593.1,51.4,25.1,35.5,fusarium_wilt
25.4,23.4,5.63,512.4,39.8,24.5,44.1,fusarium_wilt
22.6,21.9,6.01,455.2,51.2,28.4,50.5,fusarium_wilt
22.1,20.3,5.92,597.9,38.5,31.1,35.2,fusarium_wilt
18.5,20.1,5.79,515.1,41.2,27.3,38.0,fusarium_wilt
28.6,23.7,5.74,698.1,41.9,22.7,57.7,fusarium_wilt
21.5,24.8,6.11,592.8,37.3,21.5,41.5,fusarium_wilt
